TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL;TRADINGSESSION
4332841156;01.09.2021;09:59:31;SBRB;TQTF;11.335;4;45.34;;B;1
4332841158;01.09.2021;09:59:31;BSPB;TQBR;74.4;10;744;;S;1
4332841159;01.09.2021;09:59:31;BSPB;TQBR;74.4;10;744;;S;1
4332841160;01.09.2021;09:59:31;BSPB;TQBR;74.4;10;744;;S;1
4332841161;01.09.2021;09:59:31;BSPB;TQBR;74.4;50;3720;;S;1
4332841162;01.09.2021;09:59:31;FIVE;TQBR;2445;2;4890;;B;1
4332841163;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;S;1
4332841164;01.09.2021;09:59:31;FIVE;TQBR;2445;23;56235;;S;1
4332841165;01.09.2021;09:59:31;FIVE;TQBR;2445;8;19560;;S;1
4332841166;01.09.2021;09:59:31;FIVE;TQBR;2445;17;41565;;S;1
4332841167;01.09.2021;09:59:31;FIVE;TQBR;2445;69;168705;;S;1
4332841168;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841169;01.09.2021;09:59:31;FIVE;TQBR;2445;20;48900;;B;1
4332841170;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841171;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841172;01.09.2021;09:59:31;FIVE;TQBR;2445;4;9780;;S;1
4332841173;01.09.2021;09:59:31;FIVE;TQBR;2445;6;14670;;B;1
4332841174;01.09.2021;09:59:31;FIVE;TQBR;2445;8;19560;;S;1
4332841175;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841176;01.09.2021;09:59:31;FIVE;TQBR;2445;10;24450;;B;1
4332841177;01.09.2021;09:59:31;FIVE;TQBR;2445;2;4890;;B;1
4332841178;01.09.2021;09:59:31;FIVE;TQBR;2445;4;9780;;B;1
4332841179;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841180;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841181;01.09.2021;09:59:31;FIVE;TQBR;2445;10;24450;;B;1
4332841182;01.09.2021;09:59:31;FIVE;TQBR;2445;35;85575;;S;1
4332841183;01.09.2021;09:59:31;FIVE;TQBR;2445;111;271395;;S;1
4332841184;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841185;01.09.2021;09:59:31;FIVE;TQBR;2445;2;4890;;B;1
4332841186;01.09.2021;09:59:31;FIVE;TQBR;2445;25;61125;;B;1
4332841187;01.09.2021;09:59:31;FIVE;TQBR;2445;1;2445;;B;1
4332841188;01.09.2021;09:59:31;FIXP;TQBR;682.9;1;682.9;;B;1
4332841189;01.09.2021;09:59:31;GTRK;TQBR;37.3;40;1492;;B;1
4332841190;01.09.2021;09:59:31;HHRU;TQBR;3930;3;11790;;S;1
4332841191;01.09.2021;09:59:31;MTSS;TQBR;330.3;10;3303;;S;1
4332841192;01.09.2021;09:59:31;MTSS;TQBR;330.3;20;6606;;S;1
4332841193;01.09.2021;09:59:31;MTSS;TQBR;330.3;100;33030;;S;1
4332841194;01.09.2021;09:59:31;MTSS;TQBR;330.3;10;3303;;S;1
4332841195;01.09.2021;09:59:31;MTSS;TQBR;330.3;80;26424;;S;1
4332841196;01.09.2021;09:59:31;MTSS;TQBR;330.3;20;6606;;S;1
4332841197;01.09.2021;09:59:31;MTSS;TQBR;330.3;60;19818;;B;1
4332841198;01.09.2021;09:59:31;MTSS;TQBR;330.3;10;3303;;S;1
4332841199;01.09.2021;09:59:31;MTSS;TQBR;330.3;40;13212;;S;1
4332841200;01.09.2021;09:59:31;MTSS;TQBR;330.3;50;16515;;S;1
4332841201;01.09.2021;09:59:31;MTSS;TQBR;330.3;50;16515;;S;1
4332841202;01.09.2021;09:59:31;MTSS;TQBR;330.3;50;16515;;S;1
4332841203;01.09.2021;09:59:31;MTSS;TQBR;330.3;30;9909;;B;1
4332841204;01.09.2021;09:59:31;MTSS;TQBR;330.3;330;108999;;B;1
4332841205;01.09.2021;09:59:31;MTSS;TQBR;330.3;270;89181;;B;1
4332841206;01.09.2021;09:59:31;MTSS;TQBR;330.3;260;85878;;B;1
4332841207;01.09.2021;09:59:31;MTSS;TQBR;330.3;220;72666;;B;1
4332841208;01.09.2021;09:59:31;MTSS;TQBR;330.3;370;122211;;B;1
4332841209;01.09.2021;09:59:31;MTSS;TQBR;330.3;270;89181;;B;1
4332841210;01.09.2021;09:59:31;MTSS;TQBR;330.3;1350;445905;;B;1
4332841211;01.09.2021;09:59:31;MTSS;TQBR;330.3;50;16515;;S;1
4332841212;01.09.2021;09:59:31;MTSS;TQBR;330.3;10;3303;;B;1
4332841213;01.09.2021;09:59:31;MTSS;TQBR;330.3;600;198180;;S;1
4332841214;01.09.2021;09:59:31;MTSS;TQBR;330.3;10;3303;;S;1
4332841215;01.09.2021;09:59:31;MTSS;TQBR;330.3;40;13212;;S;1
4332841216;01.09.2021;09:59:31;MTSS;TQBR;330.3;30;9909;;B;1
4332841217;01.09.2021;09:59:31;MTSS;TQBR;330.3;30;9909;;B;1
4332841218;01.09.2021;09:59:31;MTSS;TQBR;330.3;50;16515;;S;1
